wekalp_ref,BUSINESS_DATE,LOAN_NUM,MATURITY_DATE,START_DATE,OUTSTANDING_PRINCIPAL_AMOUNT,OUTSTANDING_INTEREST_AMOUNT,CURRENCY,BRANCH,PURPOSE,CUSTOMER_CODE,COUNTERPARTY_TYPE,SECURED_IND,PRODUCT TYPE,CUSTOMER NAME,ORG_DESC,INDUSTRY_DESC,CUSTOMER_TYPE,TOT_OUT_AMT_INR,LR_BUCKET,SYSTEM_ASSET_CLASSIFICATION,Asset Classification ID
wekalp_ref397,20221231,MUM-USD-TL-78612-449,20250331,20200301,1205526.45,18931.37,USD,MUM,LA,CUST-78612,Individual,Y,TL,ABC7312,Tourism,Tea,SMALL,101293273.1595,Over 7 years and up to 10 years,STANDARD,4
wekalp_ref398,20221231,MUM-GBP-TL-65555-450,20250331,20200301,1966973.61,12500.28,GBP,MUM,LA,CUST-65555,Corporate,N,TL,ABC4849,Software,Sugar,MICRO,197012087.586975,Over 7 years and up to 10 years,SUB-STANDARD,2
wekalp_ref399,20221231,MUM-EUR-CC-37543-451,20250331,20200301,1071088.62,15563.55,EUR,MUM,LA,CUST-37543,Individual,Y,CC,ABC9278,Transport,Wood,SMALL,95772089.00295001,Over 15 years,STANDARD,5
wekalp_ref400,20221231,DEL-GBP-CC-51784-452,20250331,20200301,417385.92,14893.15,GBP,DEL,MM,CUST-51784,Overseas Bank,Y,CC,ABC5521,Aviation,Sugar,SMALL,43023655.139425,More than 2 months and upto 3 months,SUB-STANDARD,4
wekalp_ref401,20221231,MUM-GBP-TL-29092-454,20250331,20200301,1654233.27,16872.71,GBP,MUM,LA,CUST-29092,Corporate,N,TL,ABC4495,Tourism,Fertilizer,LARGE,166321000.42445,2-7 Days,STANDARD,4
wekalp_ref402,20221231,DUB-USD-TL-59237-455,20250331,20200301,1783042.9,6395.49,USD,DUB,MM,CUST-59237,Cooperative Bank,N,TL,ABC9559,Others,Wood,LARGE,148031290.81274998,Over 15 years,STANDARD,3
wekalp_ref403,20221231,DEL-EUR-CM-31369-456,20250331,20200301,1397357.58,15286.69,EUR,DEL,MM,CUST-31369,Financial Institution,Y,CM,ABC4777,Shipping,Sugar,SMALL,124503402.73645,8-14 Days,STANDARD,3
wekalp_ref404,20221231,DUB-GBP-CC-54287-457,20250331,20200301,1221612.08,11323.62,GBP,DUB,LA,CUST-54287,Corporate,N,CC,ABC9431,Agriculture,Man Made Textiles,LARGE,122711007.88175002,Over 10 year and up to 15 years,DOUBTFUL,1
wekalp_ref405,20221231,MUM-GBP-CC-48050-458,20250331,20200301,730832.25,12856.24,GBP,MUM,LA,CUST-48050,Financial Institution,N,CC,ABC2847,Tourism,Sugar,LARGE,74017456.188475,Over 15 years,SUB-STANDARD,3
wekalp_ref406,20221231,DUB-EUR-CM-31631-461,20250331,20200301,627735.11,2078.44,EUR,DUB,MM,CUST-31631,Financial Institution,N,CM,ABC7762,Others,Food Processing,MICRO,55508617.22925,Over 7 years and up to 10 years,STANDARD,5
wekalp_ref407,20221231,MUM-INR-TL-68300-462,20250331,20200301,1778318.47,7461.41,INR,MUM,LA,CUST-68300,Individual,Y,TL,ABC7540,Software,Railways,MICRO,1785779.88,Over 3 Years and upto 5 years,SUB-STANDARD,4
wekalp_ref408,20221231,DUB-INR-CC-60128-463,20250331,20200301,1648545.75,6458.77,INR,DUB,MM,CUST-60128,Overseas Bank,N,CC,ABC5624,Shipping,Others,MEDIUM,1655004.52,Over 1 Year and upto 3 years,SUB-STANDARD,4
wekalp_ref409,20221231,DUB-GBP-OD-44100-464,20250331,20200301,-1142065.93,-6379.67,GBP,DUB,LA,CUST-44100,Financial Institution,Y,OD,ABC5243,Tourism,Iron and Steel,SMALL,-114301919.454,More than 2 months and upto 3 months,SUB-STANDARD,4
wekalp_ref410,20221231,DEL-INR-OD-66618-465,20250331,20200301,-1489014.43,-15403.37,INR,DEL,MM,CUST-66618,Cooperative Bank,N,OD,ABC6123,Housing Finance,Iron and Steel,MICRO,-1504417.8,Over 10 year and up to 15 years,SUB-STANDARD,4
wekalp_ref411,20221231,DEL-USD-CC-64138-466,20250331,20200301,1752190.69,6887.91,USD,DEL,LA,CUST-64138,Financial Institution,Y,CC,ABC3086,Shipping,Telecommunication,SMALL,145519777.18499997,Day - 1,SUB-STANDARD,5
wekalp_ref412,20221231,DUB-EUR-CM-31043-470,20250331,20200301,766120.18,8489.75,EUR,DUB,LA,CUST-31043,Individual,N,CM,ABC2929,Tourism,Man Made Textiles,MICRO,68270246.18055001,Over 10 year and up to 15 years,STANDARD,5
wekalp_ref413,20221231,DEL-USD-OD-58722-473,20250331,20200301,-1681310.29,-6868.13,USD,DEL,LA,CUST-58722,Financial Institution,N,OD,ABC7572,Others,Telecommunication,SMALL,-139654559.7945,Over 10 year and up to 15 years,STANDARD,2
wekalp_ref414,20221231,MUM-INR-CC-45858-475,20250331,20200301,717865.26,12247.15,INR,MUM,LA,CUST-45858,Cooperative Bank,Y,CC,ABC1493,Real Estate,Tea,MICRO,730112.41,Over 7 years and up to 10 years,STANDARD,5
wekalp_ref415,20221231,MUM-INR-CM-54256-477,20250331,20200301,1096364.07,19206.25,INR,MUM,LA,CUST-54256,Overseas Bank,Y,CM,ABC3823,Others,Food Processing,LARGE,1115570.32,Day - 1,STANDARD,5
wekalp_ref416,20221231,DUB-EUR-OD-52990-480,20250331,20200301,-771999.52,-11689.47,EUR,DUB,MM,CUST-52990,Financial Institution,Y,OD,ABC3412,Shipping,Food Processing,MEDIUM,-69070429.13365,More than 2 months and upto 3 months,SUB-STANDARD,4
wekalp_ref417,20221231,DUB-EUR-OD-73002-481,20250331,20200301,-1342246.4,-14760.65,EUR,DUB,MM,CUST-73002,Overseas Bank,Y,OD,ABC3368,Aviation,Electronics,MICRO,-119599816.35174999,2-7 Days,STANDARD,3
wekalp_ref418,20221231,MUM-GBP-CM-56048-482,20250331,20200301,1271652.75,12393.49,GBP,MUM,LA,CUST-56048,Overseas Bank,Y,CM,ABC2026,Aviation,Others,LARGE,127797912.1516,Over 3 Years and upto 5 years,STANDARD,1
wekalp_ref419,20221231,DEL-INR-CC-74791-483,20250331,20200301,779791.18,6885.93,INR,DEL,LA,CUST-74791,Cooperative Bank,Y,CC,ABC3949,Software,Sugar,MEDIUM,786677.1100000001,Over 3 Months and upto 6 months,SUB-STANDARD,4
wekalp_ref420,20221231,MUM-GBP-OD-27281-484,20250331,20200301,-375435.53,-7415.92,GBP,MUM,LA,CUST-27281,Financial Institution,N,OD,ABC686,Agriculture,Telecommunication,MICRO,-38104247.689875,Day - 1,STANDARD,2
wekalp_ref421,20221231,DEL-USD-CC-61215-485,20250331,20200301,713827.05,8373.07,USD,DEL,LA,CUST-61215,Individual,N,CC,ABC5567,Tourism,Others,MEDIUM,59744004.927,Over 6 Months and upto 1 year,STANDARD,5
wekalp_ref422,20221231,DUB-GBP-OD-16770-486,20250331,20200301,-719213.97,-8256.39,GBP,DUB,MM,CUST-16770,Cooperative Bank,Y,OD,ABC8992,Agriculture,Telecommunication,LARGE,-72403306.25490001,Over 6 Months and upto 1 year,SUB-STANDARD,4
wekalp_ref423,20221231,MUM-EUR-CM-53280-487,20250331,20200301,677613.61,8487.77,EUR,MUM,LA,CUST-53280,Financial Institution,Y,CM,ABC1180,Real Estate,Food Processing,MICRO,60469545.12630001,More than 2 months and upto 3 months,SUB-STANDARD,4
wekalp_ref424,20221231,DUB-USD-CC-79474-489,20250331,20200301,352198.97,7574.13,USD,DUB,LA,CUST-79474,Financial Institution,N,CC,ABC8301,Others,Telecommunication,SMALL,29762229.697499994,Over 6 Months and upto 1 year,STANDARD,5
wekalp_ref425,20221231,DUB-INR-CM-30906-491,20250331,20200301,807356.66,9393.5,INR,DUB,MM,CUST-30906,Overseas Bank,Y,CM,ABC7061,Shipping,Electronics,MICRO,816750.16,31 Days and upto 2 months,SUB-STANDARD,4
wekalp_ref426,20221231,DEL-GBP-CM-59622-493,20250331,20200301,1165399.38,10392.18,GBP,DEL,MM,CUST-59622,Financial Institution,N,CM,ABC4709,Software,Fertilizer,LARGE,117023594.48789997,2-7 Days,STANDARD,5
wekalp_ref427,20221231,DEL-USD-TL-67279-497,20250331,20200301,639640.13,14293.94,USD,DEL,LA,CUST-67279,Overseas Bank,Y,TL,ABC6194,Others,Electronics,MICRO,54096695.940749995,Over 3 Months and upto 6 months,SUB-STANDARD,4
wekalp_ref428,20221231,DEL-USD-OD-57953-498,20250331,20200301,-1673977.42,-4299.26,USD,DEL,LA,CUST-57953,Financial Institution,N,OD,ABC4841,Tourism,Sugar,SMALL,-138835438.353,Over 1 Year and upto 3 years,STANDARD,5
wekalp_ref429,20221231,MUM-EUR-OD-54677-499,20250331,20200301,-149313.17,-11343.4,EUR,MUM,LA,CUST-54677,Financial Institution,Y,OD,ABC879,Housing Finance,Fertilizer,LARGE,-14159466.796950001,Over 3 Years and upto 5 years,DOUBTFUL,5
wekalp_ref430,20221231,DEL-GBP-CM-46577-501,20250331,20200301,1392419.56,16756.03,GBP,DEL,LA,CUST-46577,Individual,Y,CM,ABC7928,Others,Railways,MEDIUM,140251723.53372502,8-14 Days,STANDARD,4
wekalp_ref431,20221231,DUB-USD-CC-37425-502,20250331,20200301,766298.16,3120.62,USD,DUB,MM,CUST-37425,Cooperative Bank,N,CC,ABC9736,Real Estate,Tea,LARGE,63650168.5755,Over 1 Year and upto 3 years,STANDARD,1
wekalp_ref432,20221231,DEL-INR-CM-63891-503,20250331,20200301,1599638.24,10831.2,INR,DEL,MM,CUST-63891,Cooperative Bank,Y,CM,ABC8583,Agriculture,Food Processing,SMALL,1610469.44,More than 2 months and upto 3 months,STANDARD,5
wekalp_ref433,20221231,MUM-USD-OD-40476-504,20250331,20200301,-1181014.35,-16872.71,USD,MUM,MM,CUST-40476,Overseas Bank,N,OD,ABC8164,Shipping,Electronics,MEDIUM,-99095207.0385,Over 5 years and upto 7 years,STANDARD,4
wekalp_ref434,20221231,DUB-INR-TL-39432-507,20250331,20200301,1275639.55,3933.41,INR,DUB,LA,CUST-39432,Individual,Y,TL,ABC7824,Housing Finance,Fertilizer,LARGE,1279572.96,More than 2 months and upto 3 months,SUB-STANDARD,4
wekalp_ref435,20221231,DEL-EUR-OD-53160-509,20250331,20200301,-1967347.37,-8416.58,EUR,DEL,MM,CUST-53160,Financial Institution,N,OD,ABC2389,Real Estate,Wood,LARGE,-174133955.73325002,Over 7 years and up to 10 years,DOUBTFUL,5
wekalp_ref436,20221231,DUB-USD-CC-61675-511,20250331,20200301,1754012.04,6688.17,USD,DUB,LA,CUST-61675,Corporate,Y,CC,ABC1737,Transport,Others,MEDIUM,145653924.87225,Over 1 Year and upto 3 years,DOUBTFUL,5
wekalp_ref437,20221231,DUB-GBP-CC-47751-512,20250331,20200301,405609.44,7615.66,GBP,DUB,MM,CUST-47751,Cooperative Bank,Y,CC,ABC4563,Shipping,Railways,MEDIUM,41127261.14025,Over 15 years,SUB-STANDARD,3
wekalp_ref438,20221231,MUM-INR-CC-38331-514,20250331,20200301,352592.51,14903.04,INR,MUM,LA,CUST-38331,Individual,Y,CC,ABC1894,Others,Electronics,SMALL,367495.55,Over 7 years and up to 10 years,SUB-STANDARD,4
wekalp_ref439,20221231,DEL-USD-OD-70081-517,20250331,20200301,-1118236.09,-13961.71,USD,DEL,LA,CUST-70081,Overseas Bank,N,OD,ABC2687,Agriculture,Iron and Steel,MEDIUM,-93661063.005,Over 10 year and up to 15 years,SUB-STANDARD,5
wekalp_ref440,20221231,MUM-USD-TL-63102-519,20250331,20200301,528096.75,13514.78,USD,MUM,LA,CUST-63102,Corporate,Y,TL,ABC8960,Real Estate,Others,MEDIUM,44804813.81925,Over 7 years and up to 10 years,STANDARD,4
wekalp_ref441,20221231,DUB-USD-CM-16235-521,20250331,20200301,1662539.11,2519.44,USD,DUB,LA,CUST-16235,Overseas Bank,N,CM,ABC958,Tourism,Telecommunication,MEDIUM,137741968.54874998,31 Days and upto 2 months,SUB-STANDARD,2
wekalp_ref442,20221231,DEL-INR-CM-42772-523,20250331,20200301,301715.33,8776.5,INR,DEL,MM,CUST-42772,Financial Institution,N,CM,ABC8433,Agriculture,Sugar,SMALL,310491.83,Over 7 years and up to 10 years,SUB-STANDARD,5
wekalp_ref443,20221231,DUB-GBP-OD-56968-524,20250331,20200301,-976520.78,-18282.72,GBP,DUB,LA,CUST-56968,Cooperative Bank,N,OD,ABC8603,Individual,Others,MICRO,-99010305.34625,8-14 Days,STANDARD,3
wekalp_ref444,20221231,DEL-GBP-CC-22593-525,20250331,20200301,867435.52,9753.42,GBP,DEL,LA,CUST-22593,Cooperative Bank,Y,CC,ABC1057,Transport,Electronics,SMALL,87304422.22585002,Over 15 years,STANDARD,3
wekalp_ref445,20221231,DUB-INR-CC-21143-526,20250331,20200301,96978.51,2752.79,INR,DUB,MM,CUST-21143,Cooperative Bank,N,CC,ABC5790,Real Estate,Others,MICRO,99731.3,Day - 1,STANDARD,3
wekalp_ref446,20221231,DEL-GBP-CC-54181-528,20250331,20200301,1726652.23,5357.26,GBP,DEL,LA,CUST-54181,Individual,N,CC,ABC3520,Others,Fertilizer,MEDIUM,172382574.515975,Over 3 Years and upto 5 years,STANDARD,5
wekalp_ref447,20221231,DUB-GBP-CC-41032-529,20250331,20200301,1580439.9,10999.3,GBP,DUB,MM,CUST-41032,Financial Institution,Y,CC,ABC1937,Agriculture,Tea,LARGE,158391964.97800002,Over 6 Months and upto 1 year,STANDARD,5
wekalp_ref448,20221231,DUB-GBP-CC-35221-530,20250331,20200301,870577.9,6276.84,GBP,DUB,LA,CUST-35221,Individual,N,CC,ABC135,Agriculture,Sugar,MICRO,87271160.13535,Over 7 years and up to 10 years,STANDARD,5
wekalp_ref449,20221231,DEL-GBP-CM-47651-531,20250331,20200301,932353.52,12856.24,GBP,DEL,LA,CUST-47651,Cooperative Bank,N,CM,ABC8020,Software,Tea,LARGE,94074364.3884,2-7 Days,STANDARD,5
wekalp_ref450,20221231,DUB-USD-CC-60199-533,20250331,20200301,448431.94,19273.49,USD,DUB,LA,CUST-60199,Financial Institution,Y,CC,ABC4673,Aviation,Telecommunication,SMALL,38690931.69675,2-7 Days,SUB-STANDARD,5
wekalp_ref451,20221231,DEL-INR-OD-63807-534,20250331,20200301,-1572371.37,-2649.96,INR,DEL,MM,CUST-63807,Overseas Bank,N,OD,ABC5543,Individual,Others,SMALL,-1575021.33,More than 2 months and upto 3 months,SUB-STANDARD,5
wekalp_ref452,20221231,DUB-EUR-OD-69250-535,20250331,20200301,-665099.49,-3955.16,EUR,DUB,MM,CUST-69250,Cooperative Bank,Y,OD,ABC6719,Individual,Man Made Textiles,SMALL,-58967131.577750005,Over 1 Year and upto 3 years,STANDARD,4
wekalp_ref453,20221231,DEL-EUR-CM-61204-536,20250331,20200301,1237978.52,8709.26,EUR,DEL,LA,CUST-61204,Financial Institution,Y,CM,ABC7025,Tourism,Telecommunication,MEDIUM,109876827.49030001,31 Days and upto 2 months,SUB-STANDARD,4
wekalp_ref454,20221231,DUB-GBP-TL-66089-537,20250331,20200301,157308.53,5169.39,GBP,DUB,LA,CUST-66089,Overseas Bank,Y,TL,ABC7361,Agriculture,Railways,SMALL,16171021.182800002,8-14 Days,SUB-STANDARD,3
wekalp_ref455,20221231,DEL-GBP-TL-78690-541,20250331,20200301,1444514.94,8645.98,GBP,DEL,LA,CUST-78690,Overseas Bank,Y,TL,ABC5940,Agriculture,Wood,SMALL,144629473.4653,Over 7 years and up to 10 years,STANDARD,4
wekalp_ref456,20221231,DEL-EUR-TL-78554-542,20250331,20200301,1713105.81,3937.36,EUR,DEL,LA,CUST-78554,Overseas Bank,N,TL,ABC8776,Transport,Food Processing,LARGE,151331599.78795,8-14 Days,STANDARD,4
wekalp_ref457,20221231,DUB-GBP-TL-16513-543,20250331,20200301,1418745.1,19336.77,GBP,DUB,LA,CUST-16513,Cooperative Bank,N,TL,ABC3203,Individual,Tea,SMALL,143128693.31642503,Over 3 Months and upto 6 months,STANDARD,1
wekalp_ref458,20221231,DEL-GBP-OD-39738-544,20250331,20200301,-611129.37,-13362.5,GBP,DEL,LA,CUST-39738,Cooperative Bank,Y,OD,ABC6189,Software,Railways,LARGE,-62154114.591425,Over 6 Months and upto 1 year,STANDARD,5
wekalp_ref459,20221231,DEL-GBP-CC-32006-545,20250331,20200301,1762070.67,6272.88,GBP,DEL,LA,CUST-32006,Corporate,N,CC,ABC5277,Others,Fertilizer,SMALL,175998812.67262498,Over 3 Months and upto 6 months,DOUBTFUL,4
wekalp_ref460,20221231,DUB-EUR-CM-16460-546,20250331,20200301,370653.74,15834.48,EUR,DUB,LA,CUST-16460,Individual,N,CM,ABC5306,Others,Sugar,SMALL,34063139.2697,Over 3 Months and upto 6 months,SUB-STANDARD,5
wekalp_ref461,20221231,DUB-USD-OD-38736-549,20250331,20200301,-87130.17,-3615.02,USD,DUB,MM,CUST-38736,Financial Institution,Y,OD,ABC6096,Others,Fertilizer,MICRO,-7506895.84275,Over 6 Months and upto 1 year,STANDARD,3
wekalp_ref462,20221231,DEL-INR-CC-13430-550,20250331,20200301,1324982.13,7671.03,INR,DEL,LA,CUST-13430,Overseas Bank,Y,CC,ABC1860,Tourism,Food Processing,LARGE,1332653.16,8-14 Days,SUB-STANDARD,5
wekalp_ref463,20221231,DEL-USD-OD-60785-551,20250331,20200301,-1479284.74,-15569.48,USD,DEL,MM,CUST-60785,Financial Institution,N,OD,ABC7062,Real Estate,Telecommunication,SMALL,-123661815.34949999,More than 2 months and upto 3 months,STANDARD,4
wekalp_ref464,20221231,DEL-GBP-CM-62538-552,20250331,20200301,626334.98,12646.62,GBP,DEL,LA,CUST-62538,Financial Institution,N,CM,ABC3697,Transport,Fertilizer,LARGE,63596241.194,31 Days and upto 2 months,STANDARD,3
wekalp_ref465,20221231,MUM-EUR-TL-67006-553,20250331,20200301,1764240.08,7008.54,EUR,MUM,MM,CUST-67006,Overseas Bank,N,TL,ABC1915,Tourism,Fertilizer,MEDIUM,156108997.12370002,Over 15 years,STANDARD,2
wekalp_ref466,20221231,DUB-GBP-CC-27944-554,20250331,20200301,406629.87,2822.01,GBP,DUB,LA,CUST-27944,Financial Institution,Y,CC,ABC2422,Real Estate,Food Processing,SMALL,40751721.9867,31 Days and upto 2 months,STANDARD,5
wekalp_ref467,20221231,DUB-EUR-TL-66376-555,20250331,20200301,819093.6,6591.27,EUR,DUB,LA,CUST-66376,Financial Institution,Y,TL,ABC7091,Software,Man Made Textiles,MICRO,72771736.01745,Over 15 years,SUB-STANDARD,2
wekalp_ref468,20221231,DEL-INR-CM-24705-562,20250331,20200301,1760364.02,16789.65,INR,DEL,LA,CUST-24705,Cooperative Bank,Y,CM,ABC1387,Aviation,Wood,MICRO,1777153.67,Over 3 Years and upto 5 years,STANDARD,3
wekalp_ref469,20221231,DUB-EUR-OD-21404-564,20250331,20200301,-1597557.83,-2034.93,EUR,DUB,MM,CUST-21404,Overseas Bank,N,OD,ABC2555,Others,Leather,LARGE,-140980107.90260002,Over 3 Months and upto 6 months,DOUBTFUL,3
wekalp_ref470,20221231,DUB-INR-CM-70562-565,20250331,20200301,944009.37,14485.77,INR,DUB,LA,CUST-70562,Individual,Y,CM,ABC2775,Shipping,Wood,MEDIUM,958495.14,Over 1 Year and upto 3 years,SUB-STANDARD,5
wekalp_ref471,20221231,DEL-INR-TL-63149-566,20250331,20200301,717050.5,4876.71,INR,DEL,LA,CUST-63149,Cooperative Bank,Y,TL,ABC8986,Real Estate,Others,MEDIUM,721927.21,2-7 Days,STANDARD,5
wekalp_ref472,20221231,DEL-EUR-CM-64521-567,20250331,20200301,1291564.99,3001.97,EUR,DEL,LA,CUST-64521,Cooperative Bank,Y,CM,ABC5181,Shipping,Food Processing,LARGE,114096659.0196,Over 15 years,SUB-STANDARD,5
wekalp_ref473,20221231,MUM-USD-CM-18293-568,20250331,20200301,1269121.44,2914.95,USD,MUM,LA,CUST-18293,Cooperative Bank,Y,CM,ABC7238,Housing Finance,Leather,MEDIUM,105229210.36274998,Over 3 Years and upto 5 years,STANDARD,1
wekalp_ref474,20221231,MUM-INR-TL-40429-569,20250331,20200301,386347.81,10038.19,INR,MUM,LA,CUST-40429,Corporate,N,TL,ABC1614,Tourism,Iron and Steel,LARGE,396386.0,31 Days and upto 2 months,SUB-STANDARD,4
wekalp_ref475,20221231,DEL-GBP-CM-24278-570,20250331,20200301,240989.8,13247.8,GBP,DEL,LA,CUST-24278,Cooperative Bank,N,CM,ABC5202,Aviation,Leather,MEDIUM,25303632.733999997,2-7 Days,STANDARD,4
wekalp_ref476,20221231,MUM-USD-TL-58075-572,20250331,20200301,752907.97,15834.48,USD,MUM,MM,CUST-58075,Financial Institution,Y,TL,ABC7776,Others,Railways,LARGE,63594219.17624998,Day - 1,STANDARD,3
wekalp_ref477,20221231,DUB-GBP-OD-46305-577,20250331,20200301,-1837554.88,-2705.33,GBP,DUB,LA,CUST-46305,Individual,Y,OD,ABC1724,Tourism,Wood,MICRO,-183156498.050775,Over 7 years and up to 10 years,STANDARD,1
wekalp_ref478,20221231,MUM-INR-CC-71762-580,20250331,20200301,1074547.41,3085.02,INR,MUM,MM,CUST-71762,Overseas Bank,Y,CC,ABC684,Real Estate,Electronics,SMALL,1077632.43,Over 15 years,STANDARD,5
wekalp_ref479,20221231,MUM-EUR-CC-47075-581,20250331,20200301,1944759.46,10402.07,EUR,MUM,MM,CUST-47075,Overseas Bank,N,CC,ABC990,Software,Fertilizer,MICRO,172318161.44655,15-30 Days,SUB-STANDARD,5
wekalp_ref480,20221231,DEL-EUR-TL-60641-582,20250331,20200301,978751.49,13801.53,EUR,DEL,LA,CUST-60641,Overseas Bank,N,TL,ABC8195,Shipping,Fertilizer,LARGE,87478660.41770001,More than 2 months and upto 3 months,SUB-STANDARD,3
wekalp_ref481,20221231,MUM-INR-CC-22810-583,20250331,20200301,649929.48,6613.03,INR,MUM,LA,CUST-22810,Corporate,N,CC,ABC4235,Shipping,Tea,LARGE,656542.51,Over 3 Years and upto 5 years,STANDARD,3
wekalp_ref482,20221231,DEL-INR-TL-55983-584,20250331,20200301,936988.97,10390.2,INR,DEL,LA,CUST-55983,Corporate,Y,TL,ABC4631,Transport,Leather,MICRO,947379.17,Over 1 Year and upto 3 years,STANDARD,5
wekalp_ref483,20221231,MUM-EUR-OD-37286-585,20250331,20200301,-1163083.64,-7724.42,EUR,MUM,LA,CUST-37286,Cooperative Bank,N,OD,ABC981,Individual,Railways,MICRO,-103189168.36809999,Over 15 years,SUB-STANDARD,4
wekalp_ref484,20221231,MUM-GBP-TL-15092-586,20250331,20200301,1467039.56,14772.52,GBP,MUM,LA,CUST-15092,Cooperative Bank,N,TL,ABC8689,Aviation,Tea,MICRO,147481051.7922,Day - 1,SUB-STANDARD,4
wekalp_ref485,20221231,MUM-EUR-CC-40097-588,20250331,20200301,115118.85,2845.74,EUR,MUM,LA,CUST-40097,Corporate,Y,CC,ABC8449,Housing Finance,Man Made Textiles,LARGE,10396809.139650002,Over 15 years,SUB-STANDARD,2
wekalp_ref486,20221231,MUM-USD-TL-45491-589,20250331,20200301,1654387.52,4186.54,USD,MUM,LA,CUST-45491,Overseas Bank,N,TL,ABC786,Transport,Iron and Steel,LARGE,137205539.1135,Over 7 years and up to 10 years,STANDARD,4
wekalp_ref487,20221231,MUM-INR-CC-28445-591,20250331,20200301,614651.44,7137.08,INR,MUM,LA,CUST-28445,Overseas Bank,N,CC,ABC2172,Real Estate,Electronics,MEDIUM,621788.5199999999,Over 6 Months and upto 1 year,STANDARD,3
wekalp_ref488,20221231,MUM-GBP-CM-57101-593,20250331,20200301,1303588.68,15919.51,GBP,MUM,LA,CUST-57101,Individual,N,CM,ABC1825,Aviation,Man Made Textiles,MEDIUM,131327351.380225,15-30 Days,STANDARD,5
wekalp_ref489,20221231,MUM-USD-OD-37218-594,20250331,20200301,-993711.88,-15696.05,USD,MUM,MM,CUST-37218,Overseas Bank,Y,OD,ABC8236,Individual,Sugar,LARGE,-83503271.00925,Over 7 years and up to 10 years,STANDARD,5
wekalp_ref490,20221231,MUM-USD-CC-33905-596,20250331,20200301,1628281.5,2220.82,USD,MUM,LA,CUST-33905,Corporate,Y,CC,ABC9846,Individual,Railways,SMALL,134883304.422,Over 6 Months and upto 1 year,SUB-STANDARD,3
wekalp_ref491,20221231,MUM-USD-CC-10623-597,20250331,20200301,1278435.84,2050.75,USD,MUM,MM,CUST-10623,Overseas Bank,N,CC,ABC7182,Others,Leather,MEDIUM,105928253.15775,8-14 Days,DOUBTFUL,4
wekalp_ref492,20221231,DEL-GBP-CM-28512-599,20250331,20200301,1398919.87,4556.34,GBP,DEL,LA,CUST-28512,Corporate,Y,CM,ABC3486,Shipping,Telecommunication,LARGE,139684478.49077502,Over 5 years and upto 7 years,STANDARD,5
wekalp_ref493,20221231,DUB-EUR-OD-72429-601,20250331,20200301,-271399.04,-10382.29,EUR,DUB,LA,CUST-72429,Cooperative Bank,N,OD,ABC1113,Agriculture,Wood,SMALL,-24834797.51955,Day - 1,SUB-STANDARD,5
wekalp_ref494,20221231,DUB-USD-TL-55882-602,20250331,20200301,1118530.75,19451.47,USD,DUB,LA,CUST-55882,Corporate,N,TL,ABC429,Others,Fertilizer,LARGE,94139579.1495,31 Days and upto 2 months,STANDARD,4
wekalp_ref495,20221231,DEL-INR-TL-79289-603,20250331,20200301,843609.65,2525.37,INR,DEL,MM,CUST-79289,Overseas Bank,N,TL,ABC1963,Software,Wood,SMALL,846135.02,31 Days and upto 2 months,SUB-STANDARD,4
wekalp_ref496,20221231,DUB-GBP-CC-16921-604,20250331,20200301,1919632.33,2851.67,GBP,DUB,LA,CUST-16921,Individual,N,CC,ABC3536,Aviation,Telecommunication,MEDIUM,191340026.31,Over 6 Months and upto 1 year,SUB-STANDARD,5
wekalp_ref497,20221231,MUM-INR-OD-70295-605,20250331,20200301,-666515.44,-2576.79,INR,MUM,LA,CUST-70295,Individual,N,OD,ABC8749,Shipping,Leather,SMALL,-669092.23,15-30 Days,SUB-STANDARD,5
wekalp_ref498,20221231,MUM-EUR-OD-72386-606,20250331,20200301,-1170038.79,-17558.93,EUR,MUM,LA,CUST-72386,Cooperative Bank,Y,OD,ABC9491,Housing Finance,Telecommunication,MEDIUM,-104668925.0522,Over 3 Years and upto 5 years,STANDARD,5
wekalp_ref499,20221231,DEL-USD-CM-60479-607,20250331,20200301,387880.44,8521.39,USD,DEL,MM,CUST-60479,Overseas Bank,Y,CM,ABC8712,Individual,Iron and Steel,SMALL,32792341.386749998,Day - 1,STANDARD,5
wekalp_ref500,20221231,MUM-EUR-CM-38162-608,20250331,20200301,149506.98,17598.48,EUR,MUM,MM,CUST-38162,Cooperative Bank,N,CM,ABC9784,Transport,Wood,SMALL,14727839.717100004,Over 3 Months and upto 6 months,SUB-STANDARD,5
wekalp_ref501,20221231,MUM-GBP-OD-24512-610,20250331,20200301,-644319.09,-10576.09,GBP,MUM,LA,CUST-24512,Overseas Bank,Y,OD,ABC7332,Software,Man Made Textiles,SMALL,-65180080.027449995,31 Days and upto 2 months,SUB-STANDARD,5
wekalp_ref502,20221231,DEL-GBP-CC-64357-611,20250331,20200301,161214.25,7997.33,GBP,DEL,MM,CUST-64357,Cooperative Bank,N,CC,ABC3678,Tourism,Man Made Textiles,SMALL,16841205.52845,8-14 Days,STANDARD,3
wekalp_ref503,20221231,MUM-GBP-OD-10002-612,20250331,20200301,-863033.43,-7578.08,GBP,MUM,LA,CUST-10002,Cooperative Bank,Y,OD,ABC440,Agriculture,Tea,LARGE,-86649787.061525,Over 7 years and up to 10 years,SUB-STANDARD,5
